"","date","hits","keyword","geo","time","gprop","category"
"326",2017-12-24,0,"BOA running","world","2016-09-21 2021-09-21","web",0
"327",2017-12-31,17,"BOA running","world","2016-09-21 2021-09-21","web",0
"328",2018-01-07,16,"BOA running","world","2016-09-21 2021-09-21","web",0
"329",2018-01-14,30,"BOA running","world","2016-09-21 2021-09-21","web",0
"330",2018-01-21,77,"BOA running","world","2016-09-21 2021-09-21","web",0
"331",2018-01-28,16,"BOA running","world","2016-09-21 2021-09-21","web",0
"332",2018-02-04,31,"BOA running","world","2016-09-21 2021-09-21","web",0
"333",2018-02-11,15,"BOA running","world","2016-09-21 2021-09-21","web",0
"334",2018-02-18,31,"BOA running","world","2016-09-21 2021-09-21","web",0
"335",2018-02-25,0,"BOA running","world","2016-09-21 2021-09-21","web",0
"336",2018-03-04,30,"BOA running","world","2016-09-21 2021-09-21","web",0
"337",2018-03-11,45,"BOA running","world","2016-09-21 2021-09-21","web",0
"338",2018-03-18,31,"BOA running","world","2016-09-21 2021-09-21","web",0
"339",2018-03-25,63,"BOA running","world","2016-09-21 2021-09-21","web",0
"340",2018-04-01,16,"BOA running","world","2016-09-21 2021-09-21","web",0
"341",2018-04-08,61,"BOA running","world","2016-09-21 2021-09-21","web",0
"342",2018-04-15,31,"BOA running","world","2016-09-21 2021-09-21","web",0
"343",2018-04-22,15,"BOA running","world","2016-09-21 2021-09-21","web",0
"344",2018-04-29,47,"BOA running","world","2016-09-21 2021-09-21","web",0
